,value
2022-11-03,8.21
2022-11-04,8.7
2022-11-07,8.99
2022-11-08,8.67
2022-11-09,7.07
2022-11-10,7.36
2022-11-11,7.75
2022-11-14,7.55
2022-11-15,7.84
2022-11-16,7.46
2022-11-17,7.24
2022-11-18,7.12
2022-11-21,6.77
2022-11-22,7.25
2022-11-23,6.91
2022-11-25,7.03
2022-11-28,6.68
2022-11-29,6.86
2022-11-30,6.87
2022-12-01,6.57
2022-12-02,6.49
2022-12-05,6.14
2022-12-06,6.0
2022-12-07,5.79
2022-12-08,5.64
2022-12-09,5.44
2022-12-12,5.72
2022-12-13,5.85
2022-12-14,5.91
2022-12-15,5.95
2022-12-16,5.74
2022-12-19,5.4
2022-12-20,5.59
2022-12-21,5.58
2022-12-22,5.51
2022-12-23,5.73
2022-12-27,5.79
2022-12-28,5.46
2022-12-29,5.59
2022-12-30,5.58
2023-01-03,5.07
2023-01-04,5.16
2023-01-05,5.12
2023-01-06,5.23
2023-01-09,5.45
2023-01-10,5.43
2023-01-11,5.58
2023-01-12,5.91
2023-01-13,6.01
2023-01-17,6.22
2023-01-18,5.83
2023-01-19,6.04
2023-01-20,6.11
2023-01-23,6.21
2023-01-24,6.05
2023-01-25,6.2
2023-01-26,6.5
2023-01-27,6.36
2023-01-30,6.08
2023-01-31,6.22
2023-02-01,6.0
2023-02-02,5.73
2023-02-03,5.84
2023-02-06,5.77
2023-02-07,6.07
2023-02-08,5.82
2023-02-09,5.65
2023-02-10,6.18
2023-02-13,6.07
2023-02-14,6.15
2023-02-15,6.06
2023-02-16,5.91
2023-02-17,5.54
2023-02-21,5.32
2023-02-22,5.3
2023-02-23,5.53
2023-02-24,5.63
2023-02-27,5.73
2023-02-28,5.61
2023-03-01,5.82
2023-03-02,5.9
2023-03-03,6.27
2023-03-06,6.0
2023-03-07,5.7
2023-03-08,5.81
2023-03-09,5.41
2023-03-10,5.36
2023-03-13,5.13
2023-03-14,5.12
2023-03-15,4.65
2023-03-16,4.7
2023-03-17,4.57
2023-03-20,4.53
2023-03-21,5.05
2023-03-22,4.93
2023-03-23,4.78
2023-03-24,4.82
2023-03-27,5.04
2023-03-28,5.02
2023-03-29,5.1
