,value
2022-11-03,367.872777332696
2022-11-04,373.167622838091
2022-11-07,376.737181605773
2022-11-08,378.769847015147
2022-11-09,370.966394931353
2022-11-10,391.352541671226
2022-11-11,395.140240141378
2022-11-14,391.778905635144
2022-11-15,395.120409259335
2022-11-16,392.106115188848
2022-11-17,390.906346825266
2022-11-18,392.681210768086
2022-11-21,391.253387261013
2022-11-22,396.518486443344
2022-11-23,399.017177580721
2022-11-25,398.927938611529
2022-11-28,392.56222547583
2022-11-29,391.887975486379
2022-11-30,404.232699557945
2022-12-01,403.935236327305
2022-12-02,403.469210599302
2022-12-05,396.211107771682
2022-12-06,390.499813743391
2022-12-07,389.835479194961
2022-12-08,392.889435029534
2022-12-09,389.954464487217
2022-12-12,395.576519546317
2022-12-13,398.570982734761
2022-12-14,396.022714392277
2022-12-15,386.335328514429
2022-12-16,381.795444688399
2022-12-19,378.557948418831
2022-12-20,379.075947821961
2022-12-21,384.744056675451
2022-12-22,379.255255307661
2022-12-23,381.436829717
2022-12-27,379.932639142524
2022-12-28,375.210875352447
2022-12-29,381.964790647114
2022-12-30,380.958676421802
2023-01-03,379.354870577493
2023-01-04,382.283559510579
2023-01-05,377.9204106919
2023-01-06,386.586939167359
2023-01-09,386.367785573727
2023-01-10,389.07732091318
2023-01-11,393.998315242924
2023-01-12,395.432775128517
2023-01-13,396.966850283943
2023-01-17,396.239658814163
2023-01-18,389.98381986866
2023-01-19,387.144784678423
2023-01-20,394.356930214322
2023-01-23,399.088655531383
2023-01-24,398.660309871102
2023-01-25,398.809732775851
2023-01-26,403.192804648497
2023-01-27,404.119226657942
2023-01-30,399.04880942345
2023-01-31,404.916148816605
2023-02-01,409.219528473385
2023-02-02,415.17652160939
2023-02-03,410.763565155794
2023-02-06,408.253260356006
2023-02-07,413.592638819047
2023-02-08,409.070105568635
2023-02-09,405.523801962585
2023-02-10,406.470147025998
2023-02-13,411.241718450992
2023-02-14,411.052449438309
2023-02-15,412.38729405407
2023-02-16,406.709223673597
2023-02-17,405.693147921301
2023-02-21,397.554580375957
2023-02-22,397.006696391876
2023-02-23,399.118540112333
2023-02-24,394.855006563486
2023-02-27,396.19981270623
2023-02-28,394.735468239687
2023-03-01,393.221316138227
2023-03-02,396.279504922096
2023-03-03,402.634959137433
2023-03-06,402.913881892965
2023-03-07,396.737735163327
2023-03-08,397.385234417241
2023-03-09,390.053550557543
2023-03-10,384.425287811986
2023-03-13,383.877403827905
2023-03-14,390.222896516258
2023-03-15,387.782322405353
2023-03-16,394.586045334938
2023-03-17,389.99
2023-03-20,393.74
2023-03-21,398.91
2023-03-22,392.11
2023-03-23,393.17
2023-03-24,395.75
2023-03-27,396.49
2023-03-28,395.6
2023-03-29,401.35
